# seq	priority	source_rank	headword	source_file	deterministic_errors
1	failed	239	enjoy	terra_en_012.txt	rank 4: target is absent as a complete word
2	failed	250	exam	terra_en_012.txt	rank 5: target is absent as a complete word
3	failed	251	example	terra_en_012.txt	rank 2: placeholder sentence
4	failed	256	explain	terra_en_012.txt	rank 5: target is absent as a complete word
5	failed	312	front	terra_en_000_consolidated_legacy.txt	rank 4: target is absent as a complete word
6	failed	324	give	terra_en_000_consolidated_legacy.txt	rank 3: target is absent as a complete word
7	failed	337	guess	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word
8	failed	346	hat	terra_en_000_consolidated_legacy.txt	rank 4: target is absent as a complete word
9	failed	380	i	terra_en_000_consolidated_legacy.txt	rank 5: placeholder sentence
10	failed	385	important	terra_en_000_consolidated_legacy.txt	rank 1: placeholder sentence | rank 3: placeholder sentence
11	failed	388	include	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word | rank 5: target is absent as a complete word
12	failed	396	introduce	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word
13	failed	403	job	terra_en_000_consolidated_legacy.txt	rank 3: target is absent as a complete word
14	failed	451	make	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word
15	failed	463	mean	terra_en_000_consolidated_legacy.txt	rank 1: placeholder sentence
16	failed	471	metre	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word | rank 3: target is absent as a complete word
17	failed	476	minute	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word
18	failed	488	mother	terra_en_000_consolidated_legacy.txt	rank 5: unsupported target form
19	failed	602	pound	terra_en_000_consolidated_legacy.txt	rank 1: target is absent as a complete word | rank 3: POS does not match sense_id | rank 5: POS does not match sense_id
20	failed	603	practice	terra_en_000_consolidated_legacy.txt	rank 3: POS does not match sense_id | rank 5: POS does not match sense_id
21	failed	607	present	terra_en_000_consolidated_legacy.txt	rank 2: placeholder sentence | rank 3: POS does not match sense_id
22	failed	608	pretty	terra_en_000_consolidated_legacy.txt	rank 3: POS does not match sense_id
23	failed	626	reader	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word
24	failed	649	run	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word
25	failed	666	sentence	terra_en_000_consolidated_legacy.txt	rank 1: placeholder sentence | rank 2: placeholder sentence
26	failed	711	south	terra_en_000_consolidated_legacy.txt	rank 3: POS does not match sense_id | rank 4: POS does not match sense_id
27	failed	712	space	terra_en_000_consolidated_legacy.txt	rank 4: POS does not match sense_id
28	failed	713	speak	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word
29	failed	718	sport	terra_en_000_consolidated_legacy.txt	rank 3: target is absent as a complete word
30	failed	719	spring	terra_en_000_consolidated_legacy.txt	rank 2: POS does not match sense_id | rank 3: POS does not match sense_id
31	failed	720	stand	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word | rank 3: POS does not match sense_id
32	failed	721	star	terra_en_000_consolidated_legacy.txt	rank 3: POS does not match sense_id | rank 5: POS does not match sense_id
33	failed	724	station	terra_en_000_consolidated_legacy.txt	rank 3: POS does not match sense_id | rank 5: POS does not match sense_id
34	failed	725	stay	terra_en_000_consolidated_legacy.txt	rank 3: POS does not match sense_id
35	failed	726	still	terra_en_000_consolidated_legacy.txt	rank 4: POS does not match sense_id
36	failed	727	stop	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word | rank 3: POS does not match sense_id
37	failed	728	story	terra_en_000_consolidated_legacy.txt	rank 5: target is absent as a complete word
38	failed	733	style	terra_en_000_consolidated_legacy.txt	rank 3: POS does not match sense_id | rank 5: POS does not match sense_id
39	failed	734	subject	terra_en_000_consolidated_legacy.txt	rank 4: POS does not match sense_id
40	failed	749	tall	terra_en_000_consolidated_legacy.txt	rank 2: target is absent as a complete word
41	failed	771	them	terra_en_000_consolidated_legacy.txt	rank 4: target is absent as a complete word
42	failed	786	ticket	terra_en_000_consolidated_legacy.txt	English sentences must be unique | rank 1: placeholder sentence | rank 2: placeholder sentence | rank 3: placeholder sentence | rank 4: placeholder sentence | rank 5: placeholder sentence
43	failed	787	time	terra_en_000_consolidated_legacy.txt	English sentences must be unique | rank 1: placeholder sentence | rank 2: placeholder sentence | rank 3: placeholder sentence | rank 4: placeholder sentence | rank 5: placeholder sentence
44	failed	788	tired	terra_en_000_consolidated_legacy.txt	English sentences must be unique
45	failed	789	title	terra_en_000_consolidated_legacy.txt	English sentences must be unique | rank 1: placeholder sentence | rank 2: placeholder sentence | rank 3: placeholder sentence | rank 4: placeholder sentence | rank 5: placeholder sentence
46	failed	790	to	terra_en_000_consolidated_legacy.txt	English sentences must be unique
47	failed	791	today	terra_en_000_consolidated_legacy.txt	English sentences must be unique
48	failed	792	together	terra_en_000_consolidated_legacy.txt	English sentences must be unique
